Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR2000	04/03/2023	10:32:58	 2,000	 0,02613	 0,3565	 0,07330	 0,07611	 13,09	 0,02623	 0,000	 14,80	 0,000	 0,000	 0,09996	 0,03399	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:33:08	 3,000	 0,003733	 0,2853	 0,01309	 0,01382	 10,52	 0,02568	 0,000	 0,000	 12,33	 0,000	 0,09996	 0,03635	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:33:20	 4,000	 0,01258	 1,928	 0,006526	 0,006164	 13,92	 0,1467	 0,000	 0,000	 0,000	 12,39	 0,09996	 0,03911	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:33:30	 1,000	 0,03064	 2,768	 0,01107	 0,02717	 12,16	 0,09273	 13,34	 0,000	 0,000	 0,000	 0,09996	 0,04132	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:33:42	 2,000	 0,03374	 0,3759	 0,08975	 0,09361	 13,81	 0,02610	 0,000	 14,74	 0,000	 0,000	 0,09996	 0,04398	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:33:52	 3,000	 0,005725	 0,2944	 0,01945	 0,02033	 10,88	 0,02588	 0,000	 0,000	 12,41	 0,000	 0,09996	 0,04600	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:34:04	 4,000	 0,006373	 1,928	 0,003305	 0,006106	 13,83	 0,07549	 0,000	 0,000	 0,000	 12,41	 0,09996	 0,04827	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:34:14	 1,000	 0,03507	 2,770	 0,01266	 0,03416	 12,35	 0,08314	 13,20	 0,000	 0,000	 0,000	 0,09996	 0,002869	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:34:26	 2,000	 0,04881	 5,256	 0,009286	 0,1090	 14,49	 0,03090	 0,000	 14,84	 0,000	 0,000	 0,09996	 0,05234	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:34:36	 3,000	 0,01089	 1,934	 0,005633	 0,03056	 10,92	 0,03263	 0,000	 0,000	 12,41	 0,000	 0,09996	 0,05397	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:34:48	 4,000	 0,004529	 1,100	 0,004118	 0,005662	 13,44	 0,05950	 0,000	 0,000	 0,000	 12,48	 0,09996	 0,05584	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:34:58	 1,000	 0,04160	 2,771	 0,01502	 0,03434	 12,38	 0,09786	 13,30	 0,000	 0,000	 0,000	 0,09996	 0,05739	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:35:10	 2,000	 0,06910	 5,260	 0,01314	 0,1151	 15,27	 0,03933	 0,000	 15,47	 0,000	 0,000	 0,09996	 0,05895	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:35:20	 3,000	 0,01811	 2,765	 0,006550	 0,03258	 11,64	 0,04777	 0,000	 0,000	 12,48	 0,000	 0,09996	 0,06017	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:35:32	 4,000	 0,006600	 1,927	 0,003425	 0,002431	 13,20	 0,2057	 0,000	 0,000	 0,000	 12,46	 0,09996	 0,06127	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:35:42	 1,000	 0,03870	 2,771	 0,01397	 0,03627	 12,42	 0,08595	 13,18	 0,000	 0,000	 0,000	 0,09996	 0,06212	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:35:54	 2,000	 0,08941	 5,265	 0,01698	 0,3766	 15,95	 0,01488	 0,000	 16,10	 0,000	 0,000	 0,09996	 0,06282	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:36:04	 3,000	 0,01881	 2,766	 0,006801	 0,03694	 12,06	 0,04221	 0,000	 0,000	 12,64	 0,000	 0,09996	 0,06334	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RRFLAT	04/03/2023	10:36:16	 4,000	 0,001480	 1,098	 0,001348	 0,002467	 13,07	 0,04588	 0,000	 0,000	 0,000	 12,38	 0,09996	 0,06366	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR1000	04/03/2023	10:36:26	 1,000	 9,244	 18,44	 0,5013	 0,7120	 19,97	 0,6500	 13,24	 0,000	 0,000	 0,000	 0,09996	 0,06381	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
